v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,L1,L2,L3,L4,L5,,P1,P2,P3,P4,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,,1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,,A,B,C,D,E,F,G
5,18,8,16,1,12,19,4,7,14,3,11,17,10,6,13,21,9,15,2,20,7.66666666666667,8,9.16666666666667,8.83333333333333,9,,,,,,,,,2,8,9,6,7,8,5,10,9,8,8,8,10,10,10,10,8,9,8,10,8,10,8,10,10,10,9,9,10,9,,6,7,6,6,7,7,7,6,5,6,7,6,5,5,6,5,6.0625,7,7,8,8,5,8,7,7,8,7,8,7,,5,5,5,5,4,5,4,4,5,4,5,5,4,5,4,5,5,4,5,5,5,4,4,4,5,4,5,5,4,4,5,5,4,5,4,4,4,4,5,,4,2,4,2,2,1,7
5,18,8,16,1,12,19,4,7,14,11,3,17,10,13,6,9,15,2,20,21,7.16666666666667,6.66666666666667,8.33333333333333,7.33333333333333,8.16666666666667,,,,,,,,,7,6,9,5,8,5,7,10,6,9,7,4,10,10,9,9,8,6,8,9,7,7,8,6,5,8,8,7,9,9,,6,5,5,4,5,5,6,5,7,6,5,5,6,6,5,5,5.375,7,5,7,7,8,6,6,5,5,7,6,8,,4,5,4,4,5,4,3,4,5,4,4,5,4,5,5,5,4,4,3,4,5,5,4,4,5,4,4,5,4,4,4,4,5,5,4,3,5,3,5,,3,2,3,2,0,0,7
9,16,11,1,12,2,3,5,17,19,4,15,7,8,14,6,10,21,13,20,18,6,4.5,6.66666666666667,7.16666666666667,5,,2,2,2,1,,1,,5,3,9,6,5,6,5,7,5,2,7,3,8,8,6,2,2,2,8,6,8,8,9,9,3,8,6,5,7,8,,5,5,3,4,5,3,3,3,6,6,6,6,5,5,5,5,4.6875,7,7,6,5,6,8,6,6,6,7,7,7,,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,5,4,4,4,5,5,4,4,4,4,4,4,5,5,4,4,4,,5,1,4,4,1,3,7
8,18,19,7,1,2,9,6,11,3,4,16,5,13,15,10,21,14,17,20,12,7.83333333333333,6.16666666666667,9.16666666666667,8.83333333333333,8.66666666666667,,1,1,2,1,,16,,7,4,8,10,10,9,6,9,7,10,6,10,10,8,5,9,6,9,10,9,8,5,9,9,9,8,6,10,9,9,,6,6,5,6,4,5,4,5,7,7,7,7,4,4,5,5,5.4375,8,6,6,8,8,8,7,6,7,8,6,6,,5,5,5,4,4,5,5,4,4,4,5,5,5,4,5,5,5,4,3,4,4,4,4,5,4,4,4,5,3,5,3,5,4,3,3,3,4,4,3,,3,2,4,2,2,1,7
8,16,10,6,12,1,3,4,19,9,14,2,20,15,17,11,21,13,5,7,18,3.33333333333333,3.5,8.33333333333333,6.5,4.16666666666667,,1,2,2,1,,13,,6,3,6,4,7,2,2,10,7,4,2,1,10,10,1,2,3,7,1,1,3,5,10,9,2,5,7,7,8,10,,6,6,5,4,5,6,7,6,5,2,4,4,3,5,3,5,4.75,7,6,7,6,7,8,7,6,6,6,7,6,,4,4,5,5,5,4,4,5,5,4,5,5,5,4,4,4,5,4,4,4,4,4,4,4,5,5,5,5,4,4,4,4,5,5,4,4,5,5,5,,3,2,4,1,3,1,7
8,2,10,16,12,4,1,5,13,3,17,19,14,6,20,7,9,11,18,15,21,8.83333333333333,7.83333333333333,9.83333333333333,7.83333333333333,8.16666666666667,,2,1,2,1,,4,,9,9,10,5,10,10,10,10,8,5,9,9,10,10,9,8,7,10,5,10,8,3,10,10,7,9,9,9,9,8,,7,5,5,7,5,6,3,4,7,7,7,7,5,5,7,6,5.8125,8,8,6,6,8,8,6,8,8,6,8,7,,5,3,5,4,5,5,4,5,5,4,5,5,4,5,3,5,5,4,5,3,5,5,4,5,5,5,5,5,4,4,5,5,5,5,5,5,5,4,5,,3,1,4,2,2,2,7
8,11,19,13,7,1,3,17,16,18,2,4,6,9,15,21,12,20,5,10,14,10,9.33333333333333,10,9.66666666666667,10,,2,1,1,1,,3,,10,8,10,10,10,10,10,10,9,10,10,10,10,10,10,10,10,10,9,10,10,8,10,10,10,10,10,10,10,10,,7,9,7,7,4,6,6,5,5,7,7,7,7,7,7,7,6.5625,8,8,8,8,8,8,7,8,8,8,8,8,,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,,4,1,3,3,3,3,7
18,16,7,8,2,19,12,1,4,10,3,9,14,11,13,15,5,6,20,17,21,5.83333333333333,6,6.83333333333333,7.66666666666667,7.33333333333333,,1,2,2,1,,13,,3,3,8,8,6,3,3,6,7,8,6,8,8,9,8,7,7,6,7,8,8,8,6,7,7,8,7,7,8,7,,2,2,2,5,6,5,5,5,6,6,6,6,2,2,3,2,4.0625,8,6,8,8,7,7,6,7,8,8,5,7,,4,4,3,4,4,4,3,3,4,4,4,4,4,4,5,5,4,2,2,3,4,5,5,5,5,4,4,4,4,4,4,4,3,4,4,4,4,3,4,,3,2,4,1,0,0,7
8,16,4,12,5,6,7,19,1,14,3,20,10,17,9,18,13,2,21,11,15,6.5,6.83333333333333,7.5,6.83333333333333,6.33333333333333,,1,2,1,1,,14,,6,8,9,8,6,5,5,6,4,6,7,6,8,9,6,7,7,7,6,8,8,7,7,7,6,6,8,8,7,6,,6,7,6,5,5,5,5,5,5,5,5,5,3,5,4,5,5.0625,7,7,7,6,7,7,6,7,8,7,7,8,,4,4,4,3,4,3,3,4,4,3,4,4,4,4,5,5,4,3,3,4,4,4,3,4,4,5,4,5,3,4,3,4,4,5,3,4,4,3,4,,3,1,3,3,2,1,4
8,11,18,5,2,7,16,1,9,14,10,12,19,3,6,17,21,4,1,15,20,7.83333333333333,8.16666666666667,8.33333333333333,9,8,,1,2,2,1,,13,,8,7,6,8,8,6,9,8,9,7,9,7,10,10,7,6,8,8,9,10,9,8,9,10,7,9,10,9,8,9,,7,6,6,5,6,6,4,5,7,6,7,6,3,4,5,4,5.4375,7,7,8,8,7,8,6,6,8,7,7,8,,4,4,4,4,5,5,4,3,4,5,5,5,5,5,3,4,3,3,4,4,5,5,4,5,5,4,4,4,2,4,4,5,4,5,3,4,5,4,5,,3,1,4,2,2,1,7
