,L1,L2,L3,L4,L5,P1,P2,P3,P4
L1,,,,,,-0.092165788624749,-0.199793496992145,0.0479496665574422,0.11455063542244
L2,,,,,,-0.0966240142958921,-0.187955092161498,0.0070267387174863,0.0962258736505365
L3,,,,,,-0.0834158544665921,-0.0216799516386684,-0.073502647249615,0.0936431753617127
L4,,,,,,-0.0630842090250249,0.0610313574210207,0.0664570837712173,-0.0795378678196485
L5,,,,,,-0.0963443911752647,-0.0354882777471956,-0.065534392217871,0.115967472250835
P1,-0.092165788624749,-0.0966240142958921,-0.0834158544665921,-0.0630842090250249,-0.0963443911752647,,,,
P2,-0.199793496992145,-0.187955092161498,-0.0216799516386684,0.0610313574210207,-0.0354882777471956,,,,
P3,0.0479496665574422,0.0070267387174863,-0.073502647249615,0.0664570837712173,-0.065534392217871,,,,
P4,0.11455063542244,0.0962258736505365,0.0936431753617127,-0.0795378678196485,0.115967472250835,,,,
